样本编号	批次号	项目代码	捕获芯片	分析范围	捕获率	目标区域平均深度	目标区域覆盖度(%)	测序数据量(M)	重复率	去重复深度	比对(PE)	比对(SE)	插入片段均值	>=2x目标区域覆盖度(%)	>=5x目标区域覆盖度(%)	>=10x目标区域覆盖度(%)	>=20x目标区域覆盖度(%)	>=30x目标区域覆盖度(%)	>=40x目标区域覆盖度(%)	>=50x目标区域覆盖度(%)	>=100x目标区域覆盖度(%)	GC含量	Q20	Q30	"波动值
"
AFG961	b6742auto	NCp2	NPC69	NPC69	71.98	80182.15	99.66	40937	0.94183562008751	1660.42	99.84	0.05	195.666	99.99		99.97	99.95	99.93	99.91	99.88	99.65	45.8	97.89	93.48	
AFG956	b6742auto	NCP980c	NPC980	NPC980	69.46	14422.18	99.67	54929	0.720786434508692	1791.82	99.85	0.05	182.392	99.94		99.92	99.91	99.89	99.88	99.86	99.8	52.96	98.24	94.54	
AFG956DZ	b6742auto	NCP980c	NPC980	NPC980	76.95	191.03	99.42	12537	0.053330926904973	180.8	99.71	0.07	202.573	99.5		99.28	99.17	99.05	98.87	98.58	91.83	50.73	98.39	94.91	
AFG965	b6742auto	NCP980	NPC980	NPC980	60.54	6030.73	99.67	24740	0.353479210794484	3091.78	99.79	0.08	185.454	99.94		99.92	99.9	99.89	99.88	99.85	99.75	53.95	98.12	94.24	
AFG965DZ	b6742auto	NCP980	NPC980	NPC980	77.61	201.23	99.42	13024	0.0503564512628408	190.87	99.7	0.07	201.85	99.47		99.27	99.16	99.02	98.8	98.44	91.74	51.71	98.26	94.52	
AFG963	b6742auto	NCP980c	NPC980	NPC980	70.11	14363.18	99.67	54818	0.678389906469036	2296.14	99.85	0.05	203.347	99.94		99.93	99.92	99.92	99.91	99.9	99.84	52.77	97.83	93.24	
AFG969	b6742auto	NCP980c	NPC980	NPC980	69.05	15919.59	99.67	60922	0.731154052651396	1565.53	99.85	0.05	179.714	99.99		99.99	99.98	99.98	99.97	99.95	99.89	53.22	98.28	94.63	
AFG969DZ	b6742auto	NCP980c	NPC980	NPC980	76.82	225.12	99.42	14801	0.0576827933819088	211.95	99.7	0.08	205.73	99.48		99.29	99.21	99.14	99.05	98.92	96.1	50.43	98.16	94.16	
AFG970	b6742auto	NBAP	NLP	NLP	78.79	27302.49	99.42	30631	0.474475646424079	12657.3	99.79	0.07	205.981	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.88	98.02	93.84	
ADB154DZ	b6742auto	NBAP	NLP	NLP	76.02	131.6	99.42	8830	0.0957177647824043	119.0	99.58	0.05	198.937	99.63		99.36	98.98	98.47	97.6	96.09	69.14	50.17	96.33	89.9	
AFG960	b6742auto	Ncec	NT01T	NT01T	80.5	1649.08	99.42	103274	0.433779653838982	882.15	99.77	0.04	208.699	99.74		99.62	99.56	99.53	99.51	99.49	99.41	51.45	98.27	94.56	
AFG957	b6742auto	Ncet	NT01T	NT01T	78.2	1321.87	99.42	85770	0.211270891208255	1030.61	99.71	0.08	214.587	99.72		99.59	99.54	99.51	99.5	99.48	99.42	49.83	97.46	92.31	
AFH350	b6746auto	NPAP	NST	NST	83.33	11340.65	99.5	16713	0.550520331880083	4294.79	99.68	0.08	187.945	100.0		100.0	99.99	99.99	99.99	99.99	99.99	52.37	98.15	94.42	
AFH352DZ	b6746auto	NPAP	NST	NST	75.88	216.57	99.42	14439	0.0381991615550778	207.9	99.65	0.08	205.222	99.59		99.49	99.41	99.31	99.16	98.92	94.01	50.78	98.11	94.27	
AFH149	b6746auto	NCp2	NPC69	NPC69	73.45	91181.7	99.66	45470	0.952514129085174	1385.26	99.8	0.06	193.173	100.0		99.98	99.95	99.94	99.94	99.93	99.89	44.84	98.54	95.46	
AFH148DZ	b6746auto	NCp2	NPC69	NPC69	76.15	301.69	99.42	20065	0.0509278779846511	285.54	99.64	0.09	203.6	99.48		99.32	99.26	99.21	99.16	99.09	98.14	50.33	98.2	94.51	
AFG971	b6742auto	NCP980	NPC980	NPC980	63.73	3451.33	99.67	14827	0.243345826783911	2361.57	99.79	0.08	195.115	99.95		99.91	99.89	99.86	99.82	99.78	99.66	51.49	98.14	94.23	
AFG972DZ	b6746auto	NCP980	NPC980	NPC980	73.93	244.29	99.42	16350	0.0420795301474325	233.5	99.57	0.12	181.549	99.46		99.29	99.23	99.18	99.11	99.02	97.0	50.24	98.28	94.78	
AFH349	b6746auto	NBAP	NLP	NLP	80.0	22058.99	99.42	24448	0.474815635259006	10538.24	99.74	0.09	204.077	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.21	97.95	93.85	
AFH347DZ	b6746auto	NBAP	NLP	NLP	80.05	205.59	99.42	12751	0.133603733964512	177.13	98.23	0.55	175.741	99.54		99.45	99.38	99.27	99.0	98.47	88.32	53.3	98.18	94.62	
AFG972	b6746auto	NCP980c	NPC980	NPC980	66.79	14488.33	99.67	58875	0.648123207150755	2423.92	99.76	0.08	189.567	99.95		99.94	99.93	99.93	99.92	99.92	99.9	51.4	98.16	94.47	
AFH148	b6746auto	Ncec	NT01T	NT01T	82.32	1698.03	99.42	104025	0.58468697894101	648.04	99.69	0.07	199.966	99.63		99.46	99.39	99.36	99.33	99.32	99.25	50.84	98.19	94.53	
AFH352	b6746auto	NPCW	NT01T	NT01T	81.44	1817.61	99.42	112311	0.390148447655509	1078.84	99.7	0.07	191.404	99.71		99.59	99.56	99.54	99.52	99.51	99.46	50.54	98.34	94.93	
AFH347	b6746auto	NBCW	NT01T	NT01T	78.12	1715.46	99.42	110112	0.19987519770427	1360.88	99.67	0.08	195.337	99.77		99.6	99.55	99.53	99.51	99.49	99.44	51.41	98.32	94.91	
AFC109	b6749auto	NCD1	NCDT	NCDT	70.4	5439.05	99.53	35953	0.793199924010112	512.06	99.54	0.08	203.533	99.95		99.94	99.91	99.89	99.88	99.87	99.78	51.59	97.8	93.33	
AFC109DZ	b6696auto	NCD1	NCDT	NCDT	54.8	793.28	99.53	6678	0.0647877253764245	735.77	99.17	0.21	194.912	99.94		99.86	99.75	99.62	99.43	99.17	97.22	51.57	97.66	93.43	
AFH356	b6749auto	NCp2	NPC69	NPC69	70.14	91107.94	99.66	47728	0.935026400762473	1226.23	99.76	0.06	175.303	100.0		99.98	99.96	99.95	99.91	99.91	99.88	45.41	98.66	95.78	
AFH355DZ	b6749auto	NCp2	NPC69	NPC69	66.53	257.71	99.42	18651	0.0462444529823926	244.94	99.48	0.17	167.469	99.46		99.3	99.24	99.19	99.13	99.05	97.2	50.22	98.52	95.38	
AFC108	b6749auto	NCD1	NCDT	NCDT	71.9	5271.1	99.53	34038	0.764116325537345	702.52	99.63	0.08	203.524	99.95		99.93	99.92	99.9	99.89	99.88	99.78	51.63	98.26	94.59	
AFC108DZ	b6696auto	NCD1	NCDT	NCDT	55.77	667.71	99.53	5520	0.0612132231833161	623.33	99.22	0.21	199.63	99.93		99.81	99.65	99.41	99.05	98.64	95.67	52.05	97.51	93.05	
AFH469	b6749auto	NCP393	NPC980	NPC980	61.61	4562.16	99.67	20332	0.242364938869123	3066.93	99.73	0.1	193.84	99.96		99.93	99.91	99.9	99.89	99.88	99.82	49.63	98.18	94.4	
AFH469DZ	b6749auto	NCP393	NPC980	NPC980	73.77	252.73	99.42	17275	0.046437366767631	240.42	99.54	0.1	194.18	99.42		99.29	99.23	99.17	99.09	98.98	96.75	49.73	98.41	95.06	
AFH676	b6749auto	NCP980	NPC980	NPC980	62.68	4613.4	99.67	19883	0.24512248244725	3077.97	99.75	0.09	200.331	99.97		99.95	99.94	99.93	99.92	99.9	99.84	50.74	98.18	94.39	
AFH677DZ	b6749auto	NCP980	NPC980	NPC980	68.47	177.2	99.42	12396	0.0391776059740558	169.86	99.48	0.19	168.997	99.38		99.26	99.18	99.08	98.9	98.56	88.33	50.67	98.53	95.43	
AFH677	b6749auto	NCP980c	NPC980	NPC980	67.67	15282.58	99.67	60341	0.782394792322299	685.33	99.71	0.09	180.145	99.96		99.96	99.95	99.94	99.93	99.93	99.9	52.11	97.94	93.86	
AFH355	b6749auto	Ncec	NT01T	NT01T	82.2	1780.36	99.42	108030	0.619479707702116	615.13	99.66	0.07	180.744	99.54		99.39	99.34	99.32	99.3	99.28	99.23	51.35	98.52	95.44	
AFH812	b6749auto	NBM01	NLP	NLP	75.75	29425.21	99.42	34470	0.482750069357128	13127.14	99.69	0.09	205.119	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.81	98.21	94.51	
AEJ789DZ	b6503auto	NBM01	NLP	NLP	49.28	3093.58	99.42	5574	0.176478422242538	2232.32	96.76	0.45	185.315	100.0		100.0	100.0	100.0	100.0	100.0	99.98	50.08	98.1	93.87	
AFH679	b6753auto	NCAPX	NVT	NVT	77.53	39933.71	99.39	11433	0.614954154103807	12128.97	99.69	0.09	189.663	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.47	98.12	94.23	
AFH679DZ	b6753auto	NCAPX	NVT	NVT	73.96	20283.6	99.39	6054	0.369394789547253	11293.47	99.64	0.12	183.213	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.41	98.16	94.35	
AFH820	b6753auto	NCp2	NPC69	NPC69	69.11	59201.18	99.66	31362	0.927212644237643	1897.36	99.83	0.05	184.402	99.98		99.96	99.94	99.93	99.92	99.9	99.82	45.48	98.36	94.91	
AFH819DZ	b6753auto	NCp2	NPC69	NPC69	75.89	182.1	99.42	11876	0.044556971547782	173.58	99.62	0.1	175.725	99.39		99.22	99.13	99.01	98.81	98.45	88.84	50.78	98.19	94.48	
AFH824	b6753auto	NCp2	NPC69	NPC69	70.68	80519.95	99.66	41789	0.944422125858179	954.67	99.78	0.06	181.045	99.99		99.95	99.92	99.91	99.89	99.88	99.83	45.73	98.43	95.16	
AFH823DZ	b6753auto	NCp2	NPC69	NPC69	79.11	150.22	99.42	9298	0.0456073623415968	143.15	99.63	0.11	169.787	99.31		99.19	99.06	98.85	98.42	97.55	77.1	51.26	98.24	94.61	
AFI077	b6753auto	NCP980c	NPC980	NPC980	63.13	11209.21	99.67	47280	0.544106368251695	2692.56	99.75	0.07	202.63	99.97		99.96	99.95	99.94	99.93	99.91	99.85	52.11	97.77	93.2	
AFI077DZ	b6753auto	NCP980c	NPC980	NPC980	74.75	231.12	99.42	15312	0.0638076870566214	215.38	99.57	0.13	178.269	99.37		99.25	99.18	99.12	99.03	98.9	95.73	49.67	98.13	94.3	
AFH973	b6753auto	NCP393	NPC980	NPC980	60.84	5785.13	99.67	25595	0.278438018321155	3677.18	99.77	0.08	189.305	99.96		99.93	99.9	99.89	99.87	99.85	99.76	51.06	98.14	94.32	
AFH973DZ	b6753auto	NCP393	NPC980	NPC980	76.39	234.92	99.42	15269	0.0504866149670939	222.43	99.64	0.09	182.616	99.57		99.46	99.38	99.29	99.16	98.95	94.88	51.07	98.21	94.51	
AFI073	b6753auto	NCP980	NPC980	NPC980	64.01	6572.45	99.67	26764	0.35192939870091	3511.54	99.75	0.09	202.133	99.97		99.95	99.94	99.93	99.92	99.9	99.8	52.25	98.04	94.04	
AFH813	b6753auto	NCP980c	NPC980	NPC980	62.37	15576.69	99.67	67109	0.509932573686381	4782.32	99.76	0.07	190.84	99.93		99.93	99.93	99.92	99.92	99.91	99.86	50.93	97.98	93.85	
AFH813DZ	b6753auto	NCP980c	NPC980	NPC980	77.17	207.44	99.42	13147	0.0498084837853599	196.71	99.61	0.12	168.688	99.4		99.24	99.16	99.07	98.93	98.71	92.87	50.77	98.22	94.53	
AFH823	b6753auto	Ncec	NT01T	NT01T	83.83	1900.91	99.42	113332	0.797082850918705	331.0	99.7	0.07	187.966	99.49		99.38	99.32	99.29	99.27	99.25	99.19	51.15	98.15	94.33	
AFH819	b6753auto	Ncec	NT01T	NT01T	84.71	1655.7	99.42	96101	0.600321367272101	612.81	99.71	0.05	172.032	99.47		99.34	99.28	99.25	99.22	99.2	99.1	52.22	98.04	94.06	
AFI409	b6758auto	NCp2	NPC69	NPC69	74.85	92181.64	99.66	44939	0.965196321049341	584.42	99.77	0.07	202.726	100.0		99.99	99.96	99.94	99.94	99.93	99.89	44.1	98.55	95.59	
AFI408DZ	b6758auto	NCp2	NPC69	NPC69	80.64	277.73	99.42	17238	0.0552495201551671	261.85	99.63	0.11	186.429	99.56		99.46	99.4	99.34	99.27	99.17	97.49	50.69	98.24	94.79	
AFI408	b6758auto	Ncec	NT01T	NT01T	85.66	1871.17	99.42	110037	0.75733303169156	401.06	99.72	0.07	192.698	99.64		99.55	99.51	99.48	99.46	99.45	99.38	49.92	98.4	95.23	
AFC369	b6758auto	NCP980c	NPC980	NPC980	79.2	16437.95	99.67	56121	0.877342978728764	475.1	99.77	0.08	174.994	99.96		99.95	99.94	99.94	99.93	99.92	99.88	51.47	98.38	95.21	
AFC369BDZ	b6758auto	NCP980c	NPC980	NPC980	79.51	217.68	99.42	13581	0.0463682347190797	207.21	99.63	0.11	180.498	99.53		99.45	99.38	99.3	99.17	98.97	94.64	50.69	98.35	95.09	
AFI706	b6761auto	NCpc	NCP1	NCP1	89.67	113325.4	99.47	52274	0.948744733846317	2979.57	99.86	0.04	173.649	99.99		99.99	99.97	99.97	99.97	99.96	99.93	53.4	98.56	95.39	
AFI706DZ	b6761auto	NCpc	NCP1	NCP1	84.81	15849.69	99.47	7704	0.408913467347341	8497.32	99.83	0.04	177.327	99.98		99.96	99.93	99.9	99.89	99.89	99.84	53.06	98.76	96.05	
AFI419	b6761auto	NCP980c	NPC980	NPC980	66.48	14807.45	99.67	60163	0.652203307376078	3006.03	99.77	0.09	209.653	99.99		99.99	99.99	99.99	99.99	99.99	99.97	51.43	98.16	94.27	
AFI419DZ	b6761auto	NCP980c	NPC980	NPC980	76.96	238.12	99.42	15579	0.0906268036622123	215.85	99.67	0.09	201.075	99.57		99.47	99.42	99.37	99.32	99.24	96.88	50.04	98.5	95.17	
AFI703	b6761auto	NCP393	NPC980	NPC980	64.91	8446.75	99.67	35268	0.310044819111913	4949.36	99.8	0.08	212.903	99.97		99.96	99.95	99.95	99.95	99.94	99.92	51.24	98.28	94.55	
AFI703DZ	b6761auto	NCP393	NPC980	NPC980	77.63	241.89	99.42	15709	0.0872212834830408	220.2	99.68	0.09	201.467	99.39		99.28	99.23	99.18	99.13	99.07	97.52	49.98	98.55	95.34	
AFI705	b6761auto	NCP980c	NPC980	NPC980	64.72	15776.24	99.67	66033	0.485399716770423	6288.71	99.72	0.11	222.38	99.97		99.97	99.96	99.96	99.96	99.95	99.94	51.1	97.66	92.7	
AFI705DZ	b6761auto	NCP980c	NPC980	NPC980	77.4	232.56	99.42	15149	0.0858294063015836	212.08	99.64	0.11	200.19	99.57		99.47	99.42	99.37	99.32	99.24	96.81	50.05	98.47	95.08	
AFJ216	b6768auto	NCP980	NPC980	NPC980	62.36	5827.71	99.67	26068	0.289170324577749	3471.41	99.69	0.11	246.072	99.97		99.91	99.9	99.89	99.88	99.87	99.83	49.32	97.68	92.93	
AFJ217DZ	b6768auto	NCP980	NPC980	NPC980	72.44	209.89	99.42	14389	0.0479119174271768	199.38	99.5	0.17	182.325	99.59		99.48	99.42	99.35	99.25	99.08	93.97	49.98	98.34	94.93	
AFJ120	b6768auto	NCp2	NPC69	NPC69	72.07	124639.31	99.66	63377	0.952687932066531	1748.91	99.68	0.12	186.977	100.0		100.0	99.99	99.99	99.98	99.98	99.96	45.06	98.16	94.47	
AFJ119DZ	b6768auto	NCp2	NPC69	NPC69	71.15	351.32	99.42	24404	0.0648393394511119	327.31	99.45	0.19	179.418	99.65		99.51	99.46	99.42	99.39	99.36	98.89	49.79	98.37	95.01	
AFI755	b6761auto	NBAP	NLP	NLP	70.17	28679.62	99.42	35017	0.62952539564007	9139.91	99.6	0.12	179.89	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.79	98.62	95.59	
AFI753DZ	b6768auto	NBAP	NLP	NLP	74.43	272.4	99.42	18184	0.0703656185050002	252.4	99.05	0.19	185.305	99.61		99.49	99.44	99.39	99.32	99.2	96.53	51.59	98.19	94.58	
AFJ217	b6768auto	NCP980c	NPC980	NPC980	66.95	19916.94	99.67	81099	0.820514414369977	652.53	99.77	0.09	201.954	99.94		99.92	99.92	99.91	99.9	99.89	99.87	51.48	98.08	94.18	
AFH031	b6746auto	NBAP	NLP	NLP	80.17	32209.35	99.42	35831	0.566855271175998	12462.8	99.75	0.09	211.19	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.13	98.05	94.14	
AFI759	b6761auto	NBAP	NLP	NLP	71.53	31350.21	99.42	38431	0.56873392471192	11458.34	99.66	0.1	198.404	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.67	98.07	93.92	
AFI757DZ	b6768auto	NBAP	NLP	NLP	76.62	258.47	99.42	17349	0.0663177308659924	240.67	97.91	0.41	207.289	99.46		99.31	99.26	99.2	99.13	99.03	97.1	50.91	98.06	94.13	
AFI414	b6758auto	NBAP	NLP	NLP	82.69	29130.97	99.42	31418	0.563086277568878	11567.18	99.76	0.09	200.268	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.11	97.96	94.08	
AFI412DZ	b6768auto	NBAP	NLP	NLP	79.43	215.23	99.42	13556	0.0878492859622901	195.77	98.19	0.64	180.093	99.46		99.29	99.22	99.15	99.06	98.89	93.99	52.26	98.27	94.87	
AFI418	b6758auto	NBAP	NLP	NLP	81.2	34085.74	99.42	37353	0.600154378949073	12174.94	99.73	0.1	201.444	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.08	97.99	94.13	
AFI416DZ	b6768auto	NBAP	NLP	NLP	77.63	363.84	99.42	23507	0.0859303256649702	331.49	99.35	0.17	194.013	99.61		99.51	99.46	99.43	99.4	99.36	98.85	50.96	98.22	94.64	
AFI700	b6761auto	NBM02	NLP	NLP	73.04	31518.97	99.42	38646	0.650814066617969	9452.8	99.74	0.07	222.922	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.89	98.3	94.57	
AFI702DZ	b6768auto	NBM02	NLP	NLP	72.16	274.85	99.42	18189	0.0742434710033424	253.39	99.3	0.25	163.381	99.46		99.29	99.25	99.21	99.16	99.09	97.1	51.83	98.4	95.19	
AFJ215	b6768auto	NCP980c	NPC980	NPC980	67.3	17608.25	99.67	70393	0.724698957550062	1513.39	99.72	0.11	192.624	99.98		99.96	99.96	99.95	99.95	99.95	99.94	51.91	98.1	94.26	
AFJ215DZ	b6768auto	NCP980c	NPC980	NPC980	76.51	272.06	99.42	18143	0.055099172413129	256.67	99.64	0.1	209.081	99.45		99.31	99.25	99.2	99.14	99.06	97.66	50.01	98.22	94.55	
AFJ119	b6768auto	Ncec	NT01T	NT01T	82.76	2152.31	99.42	131018	0.689682054636215	598.3	99.67	0.08	193.319	99.7		99.61	99.57	99.54	99.52	99.5	99.44	50.45	98.46	95.27	
AFH680	b6749auto	NCpt	NCP1	NCP1	80.59	65912.41	99.47	35258	0.867847923773914	5215.98	99.8	0.07	237.825	100.0		100.0	100.0	100.0	100.0	100.0	99.99	52.01	97.89	93.45	
AFH680DZ	b6768auto	NCpt	NCP1	NCP1	75.01	12685.37	99.47	6888	0.464371721578929	5834.86	99.36	0.23	168.364	100.0		100.0	99.99	99.98	99.96	99.95	99.92	51.44	98.36	95.04	
AFJ219	b6768auto	NCPLt	NPC69	NPC69	70.51	4744.33	99.66	2461	0.198993947658914	3651.01	99.65	0.14	199.464	99.96		99.91	99.84	99.81	99.78	99.76	99.64	47.01	98.3	94.78	
AFJ219DZ	b6768auto	NCPLt	NPC69	NPC69	2.72	2248.31	99.66	33721	0.321454283657307	1359.26	99.48	0.07	245.152	75.66		69.12	66.66	65.69	65.25	64.94	63.94	50.14	96.53	90.33	
AFJ214	b6768auto	NCP980	NPC980	NPC980	63.49	15027.11	99.67	62742	0.422247944224783	6687.51	99.64	0.15	202.819	99.99		99.99	99.98	99.96	99.95	99.95	99.93	50.77	97.98	93.88	
AFI753	b6761auto	NBCW	NT01T	NT01T	75.89	1946.17	99.42	128649	0.281056857541252	1382.37	99.62	0.11	193.479	99.84		99.62	99.56	99.53	99.51	99.5	99.46	49.71	98.52	95.26	
AFH681	b6753auto	NCpt	NCP1	NCP1	81.12	74506.24	99.47	38494	0.758396362759704	12521.59	99.75	0.08	186.586	100.0		100.0	100.0	100.0	100.0	100.0	99.99	51.54	98.03	93.99	
AFH681DZ	b6768auto	NCpt	NCP1	NCP1	75.41	13597.12	99.47	7427	0.441548779334457	6616.24	99.16	0.27	178.843	100.0		100.0	99.99	99.98	99.98	99.96	99.92	51.92	98.17	94.48	
AFI412	b6757auto	NBCW	NT01T	NT01T	81.8	1657.56	99.42	101670	0.141187604730028	1414.08	99.76	0.05	194.776	99.49		99.36	99.32	99.3	99.28	99.27	99.22	51.48	98.31	94.85	
AFJ062	b6768auto	NBCW	NT01T	NT01T	76.57	1856.29	99.42	122528	0.201823157589527	1468.94	99.57	0.14	200.66	99.8		99.63	99.59	99.56	99.53	99.52	99.47	50.55	98.21	94.55	
AFJ062DZ	b6768auto	NBCW	NT01T	NT01T	79.41	232.55	99.42	15137	0.0860916832386773	212.01	98.0	0.49	206.221	99.57		99.48	99.42	99.36	99.28	99.14	96.03	50.75	98.26	94.73	
AFI416	b6757auto	NBCW	NT01T	NT01T	81.27	1555.04	99.42	95907	0.172720916177831	1275.13	99.74	0.05	195.749	99.7		99.55	99.51	99.49	99.47	99.46	99.4	51.59	98.43	95.2	
AFI757	b6761auto	NBCW	NT01T	NT01T	77.45	1964.66	99.42	128066	0.249561796836272	1458.28	99.72	0.07	204.446	99.67		99.43	99.37	99.34	99.32	99.31	99.27	50.47	98.58	95.44	
AFI702	b6761auto	NBCW	NT01T	NT01T	72.37	1938.21	99.42	135487	0.252769763910423	1424.07	99.69	0.06	213.236	99.75		99.48	99.39	99.36	99.34	99.32	99.27	50.58	98.48	95.09	
AFI761	b6761auto	NBCW	NT01T	NT01T	76.81	2017.37	99.42	132544	0.265500421344784	1463.25	99.67	0.09	203.725	99.82		99.62	99.57	99.55	99.53	99.52	99.48	50.13	98.5	95.19	
AFI761DZ	b6768auto	NBCW	NT01T	NT01T	79.54	208.76	99.42	13437	0.0646297246100099	194.79	98.38	0.37	201.924	99.58		99.48	99.41	99.33	99.2	98.96	93.42	51.61	98.11	94.3	
AFI410	b6758auto	NCpt	NCP1	NCP1	82.69	64459.44	99.47	32814	0.733848088103761	12813.24	99.72	0.09	188.714	100.0		100.0	100.0	100.0	100.0	99.99	99.98	50.23	98.24	94.8	
AFI410DZ	b6776auto	NCpt	NCP1	NCP1	76.73	11098.67	99.47	5852	0.348043632247641	6407.32	99.51	0.17	159.613	99.99		99.98	99.98	99.98	99.94	99.93	99.89	51.91	98.67	95.92	
AFJ401	b6776auto	NBAP	NLP	NLP	80.91	34134.63	99.42	37113	0.58068472237176	12656.54	99.75	0.09	200.416	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.41	98.31	94.8	
AFJ399DZ	b6776auto	NBAP	NLP	NLP	76.42	235.59	99.42	14749	0.042844775199822	225.02	99.36	0.21	156.903	99.37		99.27	99.22	99.16	99.08	98.91	94.47	52.19	98.54	95.6	
AFJ399	b6776auto	NBCW	NT01T	NT01T	77.86	1753.31	99.42	113243	0.196120465151528	1395.64	99.67	0.09	197.847	99.58		99.4	99.35	99.33	99.32	99.3	99.25	50.86	98.46	95.22	
AFJ744	b6779auto	NCP980	NPC980	NPC980	64.23	7323.54	99.67	30861	0.440315053411037	3044.63	99.68	0.1	178.546	99.93		99.91	99.9	99.89	99.88	99.87	99.82	49.73	98.41	95.05	
AFJ748DZ	b6779auto	NCP980	NPC980	NPC980	58.17	201.48	99.42	16137	0.0962511667154455	180.58	99.16	0.33	156.62	99.62		99.42	99.29	99.0	98.43	97.53	86.71	47.42	98.49	95.15	
AFJ530	b6779auto	NCP980c	NPC980	NPC980	69.17	21651.78	99.67	79857	0.670010281319452	3240.66	99.72	0.08	176.942	99.99		99.98	99.98	99.97	99.97	99.96	99.93	52.25	98.29	94.74	
AFJ530DZ	b6776auto	NCP980c	NPC980	NPC980	77.39	278.7	99.42	17865	0.0382701768274381	267.67	99.63	0.11	178.79	99.6		99.49	99.42	99.37	99.31	99.22	97.66	50.48	98.58	95.61	
AFJ748	b6779auto	NCP980c	NPC980	NPC980	65.11	17866.87	99.67	74575	0.502680477642356	6048.53	99.7	0.08	191.857	99.93		99.93	99.92	99.92	99.91	99.91	99.89	51.2	98.24	94.5	
AFJ519	b6776auto	NBM01	NLP	NLP	81.31	27153.05	99.42	29501	0.546929253862335	11060.46	99.75	0.09	202.584	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.85	98.36	95.0	
ADN871DZ	b6776auto	NBM01	NLP	NLP	67.61	90.06	99.42	7057	0.0501399477231273	85.6	99.23	0.07	244.321	99.08		98.05	96.69	94.7	91.33	85.56	31.91	47.48	95.33	87.63	
AFK103	b6782auto	NCP980	NPC980	NPC980	58.18	4348.61	99.67	20382	0.215140385360843	3033.49	99.61	0.12	205.648	99.95		99.92	99.91	99.89	99.88	99.86	99.8	49.83	97.15	92.3	
AFK104DZ	b6782auto	NCP980	NPC980	NPC980	71.1	241.28	99.42	17054	0.0602417250960417	226.21	99.41	0.2	185.704	99.61		99.49	99.44	99.39	99.34	99.25	96.59	49.06	97.32	92.68	
AFK182	b6782auto	NCP980c	NPC980	NPC980	67.07	13963.83	99.67	55620	0.655516885985504	2303.55	99.76	0.07	182.143	99.99		99.98	99.98	99.97	99.97	99.96	99.93	52.97	96.96	91.81	
AFK182DZ	b6782auto	NCP980c	NPC980	NPC980	75.38	171.53	99.42	11593	0.0480844777113732	163.09	99.52	0.15	198.55	99.57		99.47	99.39	99.3	99.12	98.75	86.78	49.58	97.09	92.13	
AFK101	b6782auto	NCP980c	NPC980	NPC980	68.31	14787.31	99.67	58629	0.783764583165988	744.66	99.76	0.08	183.31	99.98		99.97	99.96	99.95	99.95	99.95	99.93	52.16	96.91	91.8	
AFK101DZ	b6782auto	NCP980c	NPC980	NPC980	75.25	239.32	99.42	16249	0.0610692464284335	224.26	99.55	0.12	199.731	99.6		99.49	99.44	99.39	99.33	99.24	96.62	49.43	97.25	92.53	
AFK100	b6782auto	NCP980	NPC980	NPC980	57.16	4849.91	99.67	22148	0.179250111374	3550.0	99.66	0.11	201.582	99.96		99.95	99.94	99.93	99.91	99.9	99.84	52.23	96.84	91.58	
AFK104	b6782auto	NCP980c	NPC980	NPC980	62.96	12619.13	99.67	53590	0.499605331662546	4236.11	99.82	0.05	192.666	99.98		99.95	99.94	99.93	99.93	99.92	99.9	51.78	97.19	92.41	
AFJ739	b6779auto	NCP980	NPC980	NPC980	63.39	6390.93	99.67	25971	0.240467550380437	4245.98	99.63	0.14	180.674	99.93		99.91	99.9	99.89	99.88	99.87	99.82	53.15	98.07	94.06	
AFJ743DZ	b6782auto	NCP980	NPC980	NPC980	60.66	160.27	99.42	12572	0.0554958647844082	150.87	99.12	0.37	157.945	99.59		99.44	99.37	99.25	98.95	98.25	81.4	48.7	97.32	92.63	
AFJ743	b6782auto	NCP980c	NPC980	NPC980	51.77	11461.84	99.67	59526	0.384161854771931	4684.13	99.65	0.07	186.68	99.93		99.93	99.92	99.92	99.91	99.9	99.87	49.06	97.54	93.23	
AFJ826	b6782auto	NBCW	NT01T	NT01T	75.05	1523.64	99.42	103016	0.163064791633176	1267.3	99.53	0.13	198.104	99.82		99.65	99.6	99.57	99.54	99.53	99.48	50.04	97.13	92.23	
AFJ826DZ	b6782auto	NBCW	NT01T	NT01T	77.31	248.68	99.42	16473	0.0673194305979982	231.45	99.4	0.18	207.743	99.58		99.49	99.44	99.38	99.32	99.23	97.04	50.34	96.83	91.52	
